City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Bengkulu,ID,6/6/2021 11:44,-3.8004,102.2655,79.21,80,21,0.92
162,Muros,ES,6/6/2021 11:42,42.7762,-9.0603,73.69,53,38,11.27
163,Storslett,NO,6/6/2021 11:47,69.7678,21.0247,50,53,0,9.22
164,East London,ZA,6/6/2021 11:43,-33.0153,27.9116,72.54,40,0,6.91
165,Pangnirtung,CA,6/6/2021 11:44,66.1451,-65.7125,32.65,82,54,4.7
166,Sisophon,KH,6/6/2021 11:47,13.5859,102.9737,87.76,59,95,9.78
167,Yagoua,CM,6/6/2021 11:47,10.3411,15.2329,97.52,30,100,6.89
168,Coolum Beach,AU,6/6/2021 11:47,-26.5333,153.1,55.35,93,0,3.36
169,Taybad,IR,6/6/2021 11:47,34.74,60.7756,102.7,12,0,18.79
170,Ucluelet,CA,6/6/2021 11:45,48.9329,-125.5528,50.09,89,90,4.7
171,Hit,IQ,6/6/2021 11:47,33.6416,42.8251,100.56,12,0,13.09
172,Orodara,BF,6/6/2021 11:47,10.9492,-4.9342,93.87,35,96,8.21
173,Sheridan,US,6/6/2021 11:47,44.8333,-106.9173,61.18,54,90,4
174,Quchan,IR,6/6/2021 11:47,37.106,58.5095,91.33,23,1,9.46
175,Rock Sound,BS,6/6/2021 11:47,24.9,-76.2,79,83,85,19.75
176,Coruripe,BR,6/6/2021 11:46,-10.1256,-36.1756,79.93,75,18,9.44
177,Capreol,CA,6/6/2021 11:47,46.706,-80.9225,60.91,88,20,5.3
178,Tuatapere,NZ,6/6/2021 11:42,-46.1333,167.6833,49.82,83,71,2.64
179,Usinsk,RU,6/6/2021 11:42,65.9939,57.5281,51.78,34,91,17.98
180,Oktyabrskoye,RU,6/6/2021 11:47,43.0645,44.7417,62.74,77,90,3.58
